nome_liga_padronizado;pais_liga;genero_liga;nome_liga;nome_clube
K League;Coreia do Sul;Masculino;K League 1;Pohang Steelers
Ekstraklasa;Polonia;Masculino;PKO BP Ekstraklasa;Pogoń Szczecin
Ekstraklasa;Polonia;Masculino;Ekstraklasa;Pogoń Szczecin
EFL Championship;Inglaterra;Masculino;EFL Championship;Plymouth Argyle
EFL Championship;Inglaterra;Masculino;Championship;Plymouth Argyle
Liga Profesional de Fútbol;Argentina;Masculino;Primera División;Platense
Liga Profesional de Fútbol;Argentina;Masculino;Liga Profesional de Fútbol;Platense
Serie B;Itália;Masculino;Serie B;Pisa
Serie B;Itália;Masculino;Serie BKT;Pisa
Ekstraklasa;Polonia;Masculino;PKO BP Ekstraklasa;Piast Gliwice
Ekstraklasa;Polonia;Masculino;Ekstraklasa;Piast Gliwice
MLS;Estados Unidos;Masculino;Major League Soccer;Philadelphia Union
MLS;Estados Unidos;Masculino;MLS;Philadelphia
Liga I;Romenia;Masculino;Liga I;Petrolul 52
EFL League One;Inglaterra;Masculino;League One;Peterborough United
EFL League One;Inglaterra;Masculino;EFL League One;Peterborough
A-League;Australia;Masculino;A-League Men;Perth Glory
A-League;Australia;Masculino;A-League;Perth Glory
Super Lig;Turquia;Masculino;Süper Lig;Pendikspor
Liga Profesional de Fútbol;Argentina;Masculino;Primera División;Peñarol
Libertadores;America do Sul;Masculino;Libertadores;Peñarol
Eredivisie;Holanda;Masculino;Eredivisie;PEC Zwolle
Ligue 2;França;Masculino;Ligue 2 BKT;Pau FC
Ligue 2;França;Masculino;Ligue 2;Pau
Serie B;Itália;Masculino;Serie B;Parma
Serie A;Itália;Masculino;Serie A Enilive;Parma
D1 Arkema;França;Feminino;Arkema PL;Paris SG
Ligue 1;França;Masculino;Ligue 1 McDonald's;Paris SG
Ligue 1;França;Masculino;Ligue 1;Paris Saint Germain
Ligue 2;França;Masculino;Ligue 2 BKT;Paris FC
D1 Arkema;França;Feminino;Arkema PL;Paris FC
Ligue 2;França;Masculino;Ligue 2;Paris
Liga da Grecia;Grecia;Masculino;Hellas Liga;PAOK FC
Liga da Grecia;Grecia;Masculino;Hellas Liga;Panathinaikos
Brasileirao;Brasil;Masculino;Série A;Palmeiras
Libertadores;America do Sul;Masculino;Libertadores;Palestino
Liga do Chile;Chile;Masculino;Primera Division;Palestino
Serie B;Itália;Masculino;Serie B;Palermo
Serie B;Itália;Masculino;Serie BKT;Palermo
Bundesliga 2;Alemanha;Masculino;2. Bundesliga;Paderborn
EFL League One;Inglaterra;Masculino;League One;Oxford United
EFL Championship;Inglaterra;Masculino;EFL Championship;Oxford United
Liga I;Romenia;Masculino;Liga I;Oțelul Galați
Bundesliga 2;Alemanha;Masculino;2. Bundesliga;Osnabrück
La Liga;Espanha;Masculino;La Liga;Osasuna
NWSL;Estados Unidos;Feminino;NWSL;Orlando Pride
MLS;Estados Unidos;Masculino;MLS;Orlando City
MLS;Estados Unidos;Masculino;Major League Soccer;Orlando City
Ligue 1;França;Masculino;Ligue 1 McDonald's;OM
Ligue 1;França;Masculino;Ligue 1;Olympique Lyonnais
Ligue 1;França;Masculino;Ligue 1;Olympique de Marseille
Liga da Grecia;Grecia;Masculino;Hellas Liga;Olympiacos FC
Copa Sul-Americana;America do Sul;Masculino;Sudamericana;Olimpia
Liga Profesional de Fútbol;Argentina;Masculino;Primera División;Olimpia
Ligue 1;França;Masculino;Ligue 1 McDonald's;OL
D1 Arkema;França;Feminino;Arkema PL;OL
Pro League;Belgica;Masculino;1A Pro League;OH Leuven
Ligue 1;França;Masculino;Ligue 1 McDonald's;OGC Nice
Hero Indian Super Legue;India;Masculino;ISL;Odisha FC
Eliteserien;Noruega;Masculino;Eliteserien;Odds BK
Eliteserien;Noruega;Masculino;Eliteserien;Odd
Superliga;Dinamarca;Masculino;Superliga;OB
Bundesliga 2;Alemanha;Masculino;2. Bundesliga;Nürnberg
EFL League Two;Inglaterra;Masculino;League Two;Notts County
EFL League Two;Inglaterra;Masculino;EFL League Two;Notts County
Premier League;Inglaterra;Masculino;Premier League;Nott'm Forest
Premier League;Inglaterra;Masculino;Premier League;Nottingham Forest
EFL Championship;Inglaterra;Masculino;Championship;Norwich City
EFL Championship;Inglaterra;Masculino;EFL Championship;Norwich
Hero Indian Super Legue;India;Masculino;ISL;NorthEast United
EFL League One;Inglaterra;Masculino;League One;Northampton Town
EFL League One;Inglaterra;Masculino;EFL League One;Northampton
Allsvenskan;Suecia;Masculino;Allsvenskan;Norrköping
Superliga;Dinamarca;Masculino;Superliga;Nordsjælland
NWSL;Estados Unidos;Feminino;NWSL;NJ/NY Gotham
Ligue 1;França;Masculino;Ligue 1;Nice
EFL League Two;Inglaterra;Masculino;EFL League Two;Newport County
EFL League Two;Inglaterra;Masculino;League Two;Newport County
Liga Profesional de Fútbol;Argentina;Masculino;Liga Profesional de Fútbol;Newell's Old Boys
Liga Profesional de Fútbol;Argentina;Masculino;Primera División;Newell's
Premier League;Inglaterra;Masculino;Premier League;Newcastle Utd
Premier League;Inglaterra;Masculino;Premier League;Newcastle United
A-League;Australia;Masculino;A-League Men;Newcastle Jets
A-League;Australia;Masculino;A-League;Newcastle Jets
MLS;Estados Unidos;Masculino;Major League Soccer;New York RB
MLS;Estados Unidos;Masculino;MLS;New York City FC
MLS;Estados Unidos;Masculino;Major League Soccer;New York City
MLS;Estados Unidos;Masculino;MLS;New England
MLS;Estados Unidos;Masculino;Major League Soccer;New England
Eredivisie;Holanda;Masculino;Eredivisie;NEC
NWSL;Estados Unidos;Feminino;NWSL;NC Courage
MLS;Estados Unidos;Masculino;MLS;Nashville SC
MLS;Estados Unidos;Masculino;Major League Soccer;Nashville SC
Serie A;Itália;Masculino;Serie A;Napoli
Chinese Super League;China;Masculino;CSL;Nantong Zhiyun FC
Ligue 1;França;Masculino;Ligue 1;Nantes
Liga da Bolivia;Bolivia;Masculino;División de Fútbol Profesional;Nacional Potosí
Copa Sul-Americana;America do Sul;Masculino;Sudamericana;Nacional Potosí
Liga Profesional de Fútbol;Argentina;Masculino;Primera División;Nacional Asunción
Libertadores;America do Sul;Masculino;Libertadores;Nacional
Liga Portugal;Portugal;Masculino;Liga Portugal;Nacional
Liga Profesional de Fútbol;Argentina;Masculino;Primera División;Nacional
Eredivisie;Holanda;Masculino;Eredivisie;NAC Breda
Eredivisie;Holanda;Masculino;Eredivisie;N.E.C. Nijmegen
Hero Indian Super Legue;India;Masculino;ISL;Mumbai City FC
3 Liga;Alemanha;Masculino;3. Liga;MSV Duisburg
Ekstraklasa;Polonia;Masculino;PKO BP Ekstraklasa;Motor Lublin
Scottish Premiership;Escocia;Masculino;Scottish Prem;Motherwell
Scottish Premiership;Escocia;Masculino;Premiership;Motherwell
Liga Portugal;Portugal;Masculino;Liga Portugal;Moreirense FC
Liga Portugal;Portugal;Masculino;Primeira Liga;Moreirense
EFL League Two;Inglaterra;Masculino;EFL League Two;Morecambe
EFL League Two;Inglaterra;Masculino;League Two;Morecambe
Serie A;Itália;Masculino;Serie A;Monza
Serie A;Itália;Masculino;Serie A Enilive;Monza
Ligue 1;França;Masculino;Ligue 1;Montpellier
D1 Arkema;França;Feminino;Arkema PL;Montpellier
Ligue 1;França;Masculino;Ligue 1 McDonald's;Montpellier
Ligue 1;França;Masculino;Ligue 1;Monaco
Eliteserien;Noruega;Masculino;Eliteserien;Molde FK
Eliteserien;Noruega;Masculino;Eliteserien;Molde
Hero Indian Super Legue;India;Masculino;ISL;Mohun Bagan SG
Hero Indian Super Legue;India;Masculino;ISL;Mohammedan SC
Serie B;Itália;Masculino;Serie BKT;Modena
Serie B;Itália;Masculino;Serie B;Modena
EFL League Two;Inglaterra;Masculino;EFL League Two;MK Dons
Allsvenskan;Suecia;Masculino;Allsvenskan;Mjällby AIF
La Liga 2;Espanha;Masculino;La Liga 2;Mirandés
MLS;Estados Unidos;Masculino;MLS;Minnesota United
MLS;Estados Unidos;Masculino;Major League Soccer;Minnesota United
EFL League Two;Inglaterra;Masculino;League Two;Milton Keynes Dons
EFL Championship;Inglaterra;Masculino;EFL Championship;Millwall
EFL Championship;Inglaterra;Masculino;Championship;Millwall
Libertadores;America do Sul;Masculino;Libertadores;Millonarios
Liga Colombia;Colombia;Masculino;Categoría Primera A;Millonarios
Serie A;Itália;Masculino;Serie A Enilive;Milano FC
Serie A;Itália;Masculino;Serie A;Milan
Superliga;Dinamarca;Masculino;Superliga;Midtjylland
EFL Championship;Inglaterra;Masculino;Championship;Middlesbrough
EFL Championship;Inglaterra;Masculino;EFL Championship;Middlesbrough
Bundesliga;Alemanha;Masculino;Bundesliga;M'gladbach
Ligue 1;França;Masculino;Ligue 1;Metz
Copa Sul-Americana;America do Sul;Masculino;Sudamericana;Metropolitanos
Liga do Chile;Chile;Masculino;Primera Division;Metropolitanos
A-League;Australia;Masculino;A-League Men;Melbourne Victory
A-League;Australia;Masculino;A-League Men;Melbourne City
A-League;Australia;Masculino;A-League;Melbourne City
A-League;Australia;Masculino;A-League;Melb. Victory
Chinese Super League;China;Masculino;CSL;Meizhou Hakka FC
Serie B;Itália;Masculino;Serie BKT;Mantova
EFL League One;Inglaterra;Masculino;EFL League One;Mansfield Town
EFL League Two;Inglaterra;Masculino;League Two;Mansfield Town
Superliga Feminina;Inglaterra;Feminino;Barclays WSL;Manchester Utd
Premier League;Inglaterra;Masculino;Premier League;Manchester United
Premier League;Inglaterra;Masculino;Premier League;Manchester City
Superliga Feminina;Inglaterra;Feminino;Barclays WSL;Manchester City
Premier League;Inglaterra;Masculino;Premier League;Man Utd
Allsvenskan;Suecia;Masculino;Allsvenskan;Malmö FF
La Liga;Espanha;Masculino;La Liga;Mallorca
La Liga 2;Espanha;Masculino;LALIGA HYPERMOTION;Málaga CF
Bundesliga 2;Alemanha;Masculino;2. Bundesliga;Magdeburg
Liga F;Espanha;Feminino;Liga F;Madrid CFF
A-League;Australia;Masculino;A-League;Macarthur FC
A-League;Australia;Masculino;A-League Men;Macarthur
Superliga;Dinamarca;Masculino;3F Superliga;Lyngby BK
Superliga;Dinamarca;Masculino;Superliga;Lyngby
Premier League;Inglaterra;Masculino;Premier League;Luton Town
EFL Championship;Inglaterra;Masculino;EFL Championship;Luton Town
Ligue 1;França;Masculino;Ligue 1;LOSC Lille
Ligue 1;França;Masculino;Ligue 1 McDonald's;LOSC Lille
MLS;Estados Unidos;Masculino;Major League Soccer;Los Angeles FC
Ligue 1;França;Masculino;Ligue 1;Lorient
Serie A;Itália;Masculino;Serie A Enilive;Lombardia FC
Ekstraklasa;Polonia;Masculino;Ekstraklasa;ŁKS Łódź
Scottish Premiership;Escocia;Masculino;Premiership;Livingston
Liga Profesional de Fútbol;Argentina;Masculino;Primera División;Liverpool
Premier League;Inglaterra;Masculino;Premier League;Liverpool
Libertadores;America do Sul;Masculino;Libertadores;Liverpool
Superliga Feminina;Inglaterra;Feminino;Barclays WSL;Liverpool
EFL League One;Inglaterra;Masculino;League One;Lincoln City
EFL League One;Inglaterra;Masculino;EFL League One;Lincoln City
Eliteserien;Noruega;Masculino;Eliteserien;Lillestrøm SK
Eliteserien;Noruega;Masculino;Eliteserien;Lillestrøm
Liga Profesional de Fútbol;Argentina;Masculino;Primera División;Libertad
Libertadores;America do Sul;Masculino;Libertadores;Libertad
EFL League One;Inglaterra;Masculino;League One;Leyton Orient
EFL League One;Inglaterra;Masculino;EFL League One;Leyton Orient
Bundesliga;Alemanha;Masculino;Bundesliga;Leverkusen
Frauen-Bundesliga;Alemanha;Feminino;GPFBL;Leverkusen
La Liga 2;Espanha;Masculino;LALIGA HYPERMOTION;Levante UD
Liga F;Espanha;Feminino;Liga F;Levante UD
Liga F;Espanha;Feminino;Liga F;Levante Badalona
La Liga 2;Espanha;Masculino;La Liga 2;Levante
Ligue 1;França;Masculino;Ligue 1;Lens
EFL Championship;Inglaterra;Masculino;Championship;Leicester City
Superliga Feminina;Inglaterra;Feminino;Barclays WSL;Leicester City
Premier League;Inglaterra;Masculino;Premier League;Leicester City
Ekstraklasa;Polonia;Masculino;Ekstraklasa;Legia Warszawa
Ekstraklasa;Polonia;Masculino;PKO BP Ekstraklasa;Legia Warszawa
La Liga 2;Espanha;Masculino;La Liga 2;Leganés
EFL Championship;Inglaterra;Masculino;Championship;Leeds United
EFL Championship;Inglaterra;Masculino;EFL Championship;Leeds United
Ekstraklasa;Polonia;Masculino;PKO BP Ekstraklasa;Lechia Gdańsk
Ekstraklasa;Polonia;Masculino;PKO BP Ekstraklasa;Lech Poznań
Ekstraklasa;Polonia;Masculino;Ekstraklasa;Lech Poznań
Serie B;Itália;Masculino;Serie B;Lecco
Serie A;Itália;Masculino;Serie A Enilive;Lecce
Serie A;Itália;Masculino;Serie A;Lecce
Ligue 1;França;Masculino;Ligue 1;Le Havre
Liga do Equador;Equador;Masculino;Liga Pro;LDU Quito
Libertadores;America do Sul;Masculino;Libertadores;LDU Quito
Serie A;Itália;Masculino;Serie A;Lazio
Ligue 2;França;Masculino;Ligue 2 BKT;Laval MFC
Ligue 2;França;Masculino;Ligue 2;Laval
Superliga;Suiça;Masculino;CSSL;Lausanne-Sport
Serie A;Itália;Masculino;Serie A Enilive;Latium
Bundesliga;Alemanha;Masculino;Bundesliga;LASK Linz
Ö. Bundesliga;Austria;Masculino;Ö. Bundesliga;LASK
La Liga;Espanha;Masculino;La Liga;Las Palmas
Liga Profesional de Fútbol;Argentina;Masculino;Liga Profesional de Fútbol;Lanús
Copa Sul-Americana;America do Sul;Masculino;Sudamericana;Lanús
MLS;Estados Unidos;Masculino;MLS;LAFC
MLS;Estados Unidos;Masculino;MLS;LA Galaxy
MLS;Estados Unidos;Masculino;Major League Soccer;LA Galaxy
Pro League;Belgica;Masculino;1A Pro League;KVC Westerlo
Pro League;Belgica;Masculino;1A Pro League;KV Mechelen
Pro League;Belgica;Masculino;1A Pro League;KV Kortrijk
Eliteserien;Noruega;Masculino;Eliteserien;Kristiansund BK
Pro League;Belgica;Masculino;1A Pro League;KRC Genk
Ekstraklasa;Polonia;Masculino;PKO BP Ekstraklasa;Korona Kielce
Ekstraklasa;Polonia;Masculino;Ekstraklasa;Korona Kielce
Super Lig;Turquia;Masculino;Trendyol Süper Lig;Konyaspor
Super Lig;Turquia;Masculino;Süper Lig;Konyaspor
Superliga;Dinamarca;Masculino;Superliga;København
Scottish Premiership;Escocia;Masculino;Premiership;Kilmarnock
Scottish Premiership;Escocia;Masculino;Scottish Prem;Kilmarnock
Eliteserien;Noruega;Masculino;Eliteserien;KFUM-Kameratene
Hero Indian Super Legue;India;Masculino;ISL;Kerala Blasters
NWSL;Estados Unidos;Feminino;NWSL;KC Current
Super Lig;Turquia;Masculino;Trendyol Süper Lig;Kayserispor
Super Lig;Turquia;Masculino;Süper Lig;Kayserispor
Super Lig;Turquia;Masculino;Trendyol Süper Lig;Kasımpaşa
Super Lig;Turquia;Masculino;Süper Lig;Kasımpaşa
Bundesliga 2;Alemanha;Masculino;2. Bundesliga;Karlsruher SC
Bundesliga 2;Alemanha;Masculino;Bundesliga 2;Karlsruher SC
Allsvenskan;Suecia;Masculino;Allsvenskan;Kalmar FF
Bundesliga 2;Alemanha;Masculino;Bundesliga 2;Kaiserslautern
Bundesliga 2;Alemanha;Masculino;2. Bundesliga;Kaiserslautern
Pro League;Belgica;Masculino;1A Pro League;KAA Gent
Pro League;Belgica;Masculino;1A Pro League;K. Beerschot VA
Serie A;Itália;Masculino;Serie A Enilive;Juventus
Série A Feminina;Itália;Feminino;Calcio A Femminile;Juventus
Serie A;Itália;Masculino;Serie A;Juventus
Liga Colombia;Colombia;Masculino;Categoría Primera A;Junior
Libertadores;America do Sul;Masculino;Libertadores;Junior
K League;Coreia do Sul;Masculino;K League 1;Jeonbuk Motors
K League;Coreia do Sul;Masculino;K League 1;Jeonbuk Hyundai
K League;Coreia do Sul;Masculino;K League 1;Jeju United
Hero Indian Super Legue;India;Masculino;ISL;Jamshedpur FC
3 Liga;Alemanha;Masculino;3. Liga;Jahn Regensburg
Bundesliga 2;Alemanha;Masculino;Bundesliga 2;Jahn Regensburg
Ekstraklasa;Polonia;Masculino;Ekstraklasa;Jagiellonia Białystok
Ekstraklasa;Polonia;Masculino;PKO BP Ekstraklasa;Jagiellonia
Super Lig;Turquia;Masculino;Süper Lig;İstanbulspor
Super Lig;Turquia;Masculino;Süper Lig;İstanbul Başakşehir
EFL Championship;Inglaterra;Masculino;Championship;Ipswich Town
Premier League;Inglaterra;Masculino;Premier League;Ipswich
Brasileirao;Brasil;Masculino;Série A;Internacional
MLS;Estados Unidos;Masculino;MLS;Inter Miami CF
MLS;Estados Unidos;Masculino;Major League Soccer;Inter Miami
Serie A;Itália;Masculino;Serie A;Inter
Liga Profesional de Fútbol;Argentina;Masculino;Primera División;Instituto
Liga Profesional de Fútbol;Argentina;Masculino;Liga Profesional de Fútbol;Instituto
3 Liga;Alemanha;Masculino;3. Liga;Ingolstadt
Liga Colombia;Colombia;Masculino;Categoría Primera A;Independiente Medellín
Liga do Equador;Equador;Masculino;Liga Pro;Independiente del Valle
Liga Profesional de Fútbol;Argentina;Masculino;Primera División;Independiente
Liga Profesional de Fútbol;Argentina;Masculino;Liga Profesional de Fútbol;Independiente
Copa Sul-Americana;America do Sul;Masculino;Sudamericana;Indep. Medellín
Liga Profesional de Fútbol;Argentina;Masculino;Primera División;Ind. Rivadavia
K League;Coreia do Sul;Masculino;K League 1;Incheon United
Allsvenskan;Suecia;Masculino;Allsvenskan;IK Sirius
Allsvenskan;Suecia;Masculino;Allsvenskan;IFK Värnamo
Allsvenskan;Suecia;Masculino;Allsvenskan;IFK Norrköping
Allsvenskan;Suecia;Masculino;Allsvenskan;IFK Göteborg
Allsvenskan;Suecia;Masculino;Allsvenskan;IF Elfsborg
Libertadores;America do Sul;Masculino;Libertadores;IDV
Hero Indian Super Legue;India;Masculino;ISL;Hyderabad FC
Superliga;Dinamarca;Masculino;Superliga;Hvidovre
Liga Profesional de Fútbol;Argentina;Masculino;Liga Profesional de Fútbol;Huracán
Liga Profesional de Fútbol;Argentina;Masculino;Primera División;Huracán
EFL Championship;Inglaterra;Masculino;Championship;Hull City
EFL Championship;Inglaterra;Masculino;EFL Championship;Hull City
La Liga 2;Espanha;Masculino;La Liga 2;Huesca
EFL Championship;Inglaterra;Masculino;Championship;Huddersfield Town
EFL League One;Inglaterra;Masculino;EFL League One;Huddersfield
Liga do Chile;Chile;Masculino;Primera Division;Huachipato
Libertadores;America do Sul;Masculino;Libertadores;Huachipato
MLS;Estados Unidos;Masculino;MLS;Houston Dynamo
MLS;Estados Unidos;Masculino;Major League Soccer;Houston Dynamo
NWSL;Estados Unidos;Feminino;NWSL;Houston Dash
Bundesliga;Alemanha;Masculino;Bundesliga;Holstein Kiel
Bundesliga 2;Alemanha;Masculino;2. Bundesliga;Holstein Kiel
Liga da Finlandia;Finlandia;Masculino;Finnliiga;HJK Helsinki
Liga da Finlandia;Finlandia;Masculino;Veikkausliiga;HJK
Scottish Premiership;Escocia;Masculino;Scottish Prem;Hibernian
Scottish Premiership;Escocia;Masculino;Premiership;Hibernian
Bundesliga 2;Alemanha;Masculino;Bundesliga 2;Hertha BSC
Bundesliga 2;Alemanha;Masculino;2. Bundesliga;Hertha BSC
Liga I;Romenia;Masculino;Liga I;Hermannstadt
Eredivisie;Holanda;Masculino;Eredivisie;Heracles Almelo
Chinese Super League;China;Masculino;CSL;Henan FC
Serie A;Itália;Masculino;Serie A;Hellas Verona
Serie A;Itália;Masculino;Serie A Enilive;Hellas Verona
Bundesliga;Alemanha;Masculino;Bundesliga;Heidenheim
Scottish Premiership;Escocia;Masculino;Scottish Prem;Hearts
Scottish Premiership;Escocia;Masculino;Premiership;Hearts
D1 Arkema;França;Feminino;Arkema PL;Havre AC
Ligue 1;França;Masculino;Ligue 1 McDonald's;Havre AC
Eliteserien;Noruega;Masculino;Eliteserien;Haugesund
Super Lig;Turquia;Masculino;Süper Lig;Hatayspor
Super Lig;Turquia;Masculino;Trendyol Süper Lig;Hatayspor
Bundesliga;Alemanha;Masculino;Bundesliga;Hartberg
EFL League Two;Inglaterra;Masculino;League Two;Harrogate Town
EFL League Two;Inglaterra;Masculino;EFL League Two;Harrogate Town
Bundesliga 2;Alemanha;Masculino;2. Bundesliga;Hansa Rostock
3 Liga;Alemanha;Masculino;3. Liga;Hannover 96 II
Bundesliga 2;Alemanha;Masculino;2. Bundesliga;Hannover 96
Bundesliga 2;Alemanha;Masculino;Bundesliga 2;Hannover 96
Allsvenskan;Suecia;Masculino;Allsvenskan;Hammarby IF
Allsvenskan;Suecia;Masculino;Allsvenskan;Hammarby
Eliteserien;Noruega;Masculino;Eliteserien;HamKam Fotball
Eliteserien;Noruega;Masculino;Eliteserien;HamKam
Bundesliga 2;Alemanha;Masculino;2. Bundesliga;Hamburger SV
Bundesliga 2;Alemanha;Masculino;Bundesliga 2;Hamburger SV
Allsvenskan;Suecia;Masculino;Allsvenskan;Halmstads BK
Allsvenskan;Suecia;Masculino;Allsvenskan;Halmstad
3 Liga;Alemanha;Masculino;3. Liga;Hallescher FC
Liga da Croacia;Croacia;Masculino;Hrvatska nogometna liga;Hajduk Split
Liga da Croacia;Croacia;Masculino;Liga Hrvatska;Hajduk Split
Allsvenskan;Suecia;Masculino;Allsvenskan;Häcken
K League;Coreia do Sul;Masculino;K League 1;GwangJu FC
K League;Coreia do Sul;Masculino;K League 1;Gwangju
Ligue 2;França;Masculino;Ligue 2;Guingamp
Copa Sul-Americana;America do Sul;Masculino;Sudamericana;Guaraní
Liga Profesional de Fútbol;Argentina;Masculino;Primera División;Guaraní
EFL League Two;Inglaterra;Masculino;EFL League Two;Grimsby Town
EFL League Two;Inglaterra;Masculino;League Two;Grimsby Town
Ligue 2;França;Masculino;Ligue 2 BKT;Grenoble Foot 38
Ligue 2;França;Masculino;Ligue 2;Grenoble Foot 38
Brasileirao;Brasil;Masculino;Série A;Grêmio
Ö. Bundesliga;Austria;Masculino;Ö. Bundesliga;Grazer AK
La Liga 2;Espanha;Masculino;LALIGA HYPERMOTION;Granada CF
Liga F;Espanha;Feminino;Liga F;Granada CF
La Liga;Espanha;Masculino;La Liga;Granada
Super Lig;Turquia;Masculino;Trendyol Süper Lig;Göztepe
Ekstraklasa;Polonia;Masculino;PKO BP Ekstraklasa;Górnik Zabrze
Ekstraklasa;Polonia;Masculino;Ekstraklasa;Górnik Zabrze
Liga Profesional de Fútbol;Argentina;Masculino;Primera División;Godoy Cruz
Liga Profesional de Fútbol;Argentina;Masculino;Liga Profesional de Fútbol;Godoy Cruz
Eredivisie;Holanda;Masculino;Eredivisie;Go Ahead Eagles
Scottish Women's League;Escocia;Feminino;Scottish Women's League;Glasgow City FC
Ekstraklasa;Polonia;Masculino;PKO BP Ekstraklasa;GKS Katowice
La Liga;Espanha;Masculino;LALIGA EA SPORTS;Girona FC
La Liga;Espanha;Masculino;La Liga;Girona
Liga Profesional de Fútbol;Argentina;Masculino;Liga Profesional de Fútbol;Gimnasia La Plata
Liga Profesional de Fútbol;Argentina;Masculino;Primera División;Gimnasia
K League;Coreia do Sul;Masculino;K League 1;Gimcheon Sangmu
EFL League Two;Inglaterra;Masculino;League Two;Gillingham
EFL League Two;Inglaterra;Masculino;EFL League Two;Gillingham
Liga Portugal;Portugal;Masculino;Liga Portugal;Gil Vicente
Liga Portugal;Portugal;Masculino;Primeira Liga;Gil Vicente
La Liga;Espanha;Masculino;LALIGA EA SPORTS;Getafe CF
La Liga;Espanha;Masculino;La Liga;Getafe
Serie A;Itália;Masculino;Serie A;Genoa
Serie A;Itália;Masculino;Serie A Enilive;Genoa
Superliga;Suiça;Masculino;CSSL;GC Zürich
Super Lig;Turquia;Masculino;Süper Lig;Gaziantep F.K.
Super Lig;Turquia;Masculino;Trendyol Süper Lig;Gaziantep
K League;Coreia do Sul;Masculino;K League 1;Gangwon FC
K League;Coreia do Sul;Masculino;K League 1;Gangwon
SSE Airtricity League Premier Division;Irlanda;Masculino;SSE Airtricity PD;Galway United
Super Lig;Turquia;Masculino;Trendyol Süper Lig;Galatasaray
Super Lig;Turquia;Masculino;Süper Lig;Galatasaray
Allsvenskan;Suecia;Masculino;Allsvenskan;GAIS
Bundesliga 2;Alemanha;Masculino;Bundesliga 2;Fürth
Premier League;Inglaterra;Masculino;Premier League;Fulham
Bundesliga;Alemanha;Masculino;Bundesliga;FSV Mainz 05
Serie B;Itália;Masculino;Serie BKT;Frosinone
Serie A;Itália;Masculino;Serie A;Frosinone
3 Liga;Alemanha;Masculino;3. Liga;Freiburg II
Eliteserien;Noruega;Masculino;Eliteserien;Fredrikstad FK
Frauen-Bundesliga;Alemanha;Feminino;GPFBL;Frankfurt
Bundesliga;Alemanha;Masculino;Bundesliga;Frankfurt
Eredivisie;Holanda;Masculino;Eredivisie;Fortuna Sittard
Bundesliga 2;Alemanha;Masculino;2. Bundesliga;Fortuna Düsseldorf
Brasileirao;Brasil;Masculino;Série A;Fortaleza
EFL League Two;Inglaterra;Masculino;League Two;Forest Green Rovers
Brasileirao;Brasil;Masculino;Série A;Fluminense
EFL League Two;Inglaterra;Masculino;EFL League Two;Fleetwood Town
EFL League One;Inglaterra;Masculino;League One;Fleetwood Town
Brasileirao;Brasil;Masculino;Série A;Flamengo
Eliteserien;Noruega;Masculino;Eliteserien;FK Haugesund
Eliteserien;Noruega;Masculino;Eliteserien;FK Bodø/Glimt
Ö. Bundesliga;Austria;Masculino;Ö. Bundesliga;FK Austria Wien
Serie A;Itália;Masculino;Serie A Enilive;Fiorentina
Eredivisie;Holanda;Masculino;Eredivisie;Feyenoord
Liga da Hungria;Hungria;Masculino;Magyar Liga;Ferencvárosi TC
Liga da Hungria;Hungria;Masculino;Nemzeti Bajnokság I;Ferencváros
Serie B;Itália;Masculino;Serie B;FeralpiSalò
Super Lig;Turquia;Masculino;Süper Lig;Fenerbahçe
Super Lig;Turquia;Masculino;Trendyol Süper Lig;Fenerbahçe
Pro League;Belgica;Masculino;1A Pro League;FCV Dender EH
Liga I;Romenia;Masculino;SUPERLIGA;FCSB
Liga I;Romenia;Masculino;Liga I;FCSB
Superliga;Suiça;Feminino;Schweizer Damen Liga;FC Zürich
Superliga;Suiça;Masculino;CSSL;FC Zürich
Superliga;Suiça;Masculino;CSSL;FC Winterthur
Eredivisie;Holanda;Masculino;Eredivisie;FC Volendam
Eredivisie;Holanda;Masculino;Eredivisie;FC Utrecht
Liga I;Romenia;Masculino;SUPERLIGA;FC Univ. Cluj
Bundesliga;Alemanha;Masculino;Bundesliga;FC Union Berlin
Eredivisie;Holanda;Masculino;Eredivisie;FC Twente
Bundesliga;Alemanha;Masculino;Bundesliga;FC St. Pauli
Superliga;Suiça;Masculino;CSSL;FC St. Gallen
Superliga;Suiça;Masculino;CSSL;FC Sion
K League;Coreia do Sul;Masculino;K League 1;FC Seoul
Bundesliga 2;Alemanha;Masculino;Bundesliga 2;FC Schalke 04
Sverige Liga;Suecia;Feminino;Sverige Liga;FC Rosengård
Liga I;Romenia;Masculino;SUPERLIGA;FC Rapid 1923
Liga Portugal;Portugal;Masculino;Liga Portugal;FC Porto
Liga I;Romenia;Masculino;SUPERLIGA;FC Petrolul
Superliga;Dinamarca;Masculino;3F Superliga;FC Nordsjælland
D1 Arkema;França;Feminino;Arkema PL;FC Nantes
Ligue 1;França;Masculino;Ligue 1 McDonald's;FC Nantes
Superliga;Dinamarca;Masculino;3F Superliga;FC Midtjylland
Ligue 2;França;Masculino;Ligue 2 BKT;FC Metz
Ligue 2;França;Masculino;Ligue 2 BKT;FC Martigues
Superliga;Suiça;Masculino;CSSL;FC Luzern
Superliga;Suiça;Masculino;CSSL;FC Lugano
Ligue 2;França;Masculino;Ligue 2 BKT;FC Lorient
