nome_liga_padronizado;pais_liga;genero_liga;nome_liga;nome_clube
Liga do Equador;Equador;Masculino;Liga Pro;Universidad Católica
Liga I;Romenia;Masculino;SUPERLIGA;Univ. Craiova
Liga I;Romenia;Masculino;SUPERLIGA;Unirea Slobozia
Liga Profesional de Fútbol;Argentina;Masculino;Liga Profesional de Fútbol;Unión Santa Fe
Copa Sul-Americana;America do Sul;Masculino;Sudamericana;Unión La Calera
Liga do Chile;Chile;Masculino;Primera Division;Unión La Calera
Bundesliga;Alemanha;Masculino;Bundesliga;Union Berlin
Liga Profesional de Fútbol;Argentina;Masculino;Primera División;Unión
Copa Sul-Americana;America do Sul;Masculino;Sudamericana;Uni. Católica
K League;Coreia do Sul;Masculino;K League 1;Ulsan Hyundai
K League;Coreia do Sul;Masculino;K League 1;Ulsan
3 Liga;Alemanha;Masculino;3. Liga;Ulm
Serie A;Itália;Masculino;Serie A Enilive;Udinese
Serie A;Itália;Masculino;Serie A;Udinese
Liga F;Espanha;Feminino;Liga F;UD Tenerife
La Liga;Espanha;Masculino;LALIGA EA SPORTS;UD Las Palmas
La Liga 2;Espanha;Masculino;LALIGA HYPERMOTION;UD Almería
Copa Sul-Americana;America do Sul;Masculino;Sudamericana;UCV
SSE Airtricity League Premier Division;Irlanda;Masculino;Premier Division;UCD
Copa Sul-Americana;America do Sul;Masculino;Sudamericana;U. Católica
Liga I;Romenia;Masculino;Liga I;U Craiova 1948
Frauen-Bundesliga;Alemanha;Feminino;GPFBL;Turbine Potsdam
Ö. Bundesliga;Austria;Masculino;Ö. Bundesliga;TSV Hartberg
Frauen-Bundesliga;Alemanha;Feminino;GPFBL;TSG Hoffenheim
Bundesliga;Alemanha;Masculino;Bundesliga;TSG Hoffenheim
Ligue 2;França;Masculino;Ligue 2;Troyes
Eliteserien;Noruega;Masculino;Eliteserien;Tromsø IL
Eliteserien;Noruega;Masculino;Eliteserien;Tromsø
EFL League Two;Inglaterra;Masculino;EFL League Two;Tranmere Rovers
EFL League Two;Inglaterra;Masculino;League Two;Tranmere Rovers
Super Lig;Turquia;Masculino;Trendyol Süper Lig;Trabzonspor
Super Lig;Turquia;Masculino;Süper Lig;Trabzonspor
Ligue 1;França;Masculino;Ligue 1 McDonald's;Toulouse FC
Ligue 1;França;Masculino;Ligue 1;Toulouse
Premier League;Inglaterra;Masculino;Premier League;Tottenham Hotspur
MLS;Estados Unidos;Masculino;MLS;Toronto FC
MLS;Estados Unidos;Masculino;Major League Soccer;Toronto
Serie A;Itália;Masculino;Serie A Enilive;Torino
Serie A;Itália;Masculino;Serie A;Torino
Liga Profesional de Fútbol;Argentina;Masculino;Primera División;Tigre
Liga Profesional de Fútbol;Argentina;Masculino;Liga Profesional de Fútbol;Tigre
Chinese Super League;China;Masculino;CSL;Tianjin JMT FC
Liga da Bolivia;Bolivia;Masculino;División de Fútbol Profesional;The Strongest
Libertadores;America do Sul;Masculino;Libertadores;The Strongest
Serie B;Itália;Masculino;Serie B;Ternana
La Liga 2;Espanha;Masculino;La Liga 2;Tenerife
Liga do Equador;Equador;Masculino;Liga Pro;Técnico Universitario
Copa Sul-Americana;America do Sul;Masculino;Sudamericana;Técnico U.
Liga Profesional de Fútbol;Argentina;Masculino;Liga Profesional de Fútbol;Talleres Córdoba
Libertadores;America do Sul;Masculino;Libertadores;Talleres
Chinese Super League;China;Masculino;CSL;SZ Peng City
A-League;Australia;Masculino;A-League Men;Sydney FC
A-League;Australia;Masculino;A-League;Sydney FC
EFL League Two;Inglaterra;Masculino;EFL League Two;Swindon Town
EFL League Two;Inglaterra;Masculino;League Two;Swindon Town
EFL Championship;Inglaterra;Masculino;Championship;Swansea City
EFL Championship;Inglaterra;Masculino;EFL Championship;Swansea City
